title,n_papers_count,n_papers_mean,n_papers_std,n_papers_min,n_papers_25%,n_papers_50%,n_papers_75%,n_papers_max,n_included_count,n_included_mean,n_included_std,n_included_min,n_included_25%,n_included_50%,n_included_75%,n_included_max,n_excluded_count,n_excluded_mean,n_excluded_std,n_excluded_min,n_excluded_25%,n_excluded_50%,n_excluded_75%,n_excluded_max,n_unlabeled_count,n_unlabeled_mean,n_unlabeled_std,n_unlabeled_min,n_unlabeled_25%,n_unlabeled_50%,n_unlabeled_75%,n_unlabeled_max,n_missing_title_count,n_missing_title_mean,n_missing_title_std,n_missing_title_min,n_missing_title_25%,n_missing_title_50%,n_missing_title_75%,n_missing_title_max,n_missing_title_included_count,n_missing_title_included_mean,n_missing_title_included_std,n_missing_title_included_min,n_missing_title_included_25%,n_missing_title_included_50%,n_missing_title_included_75%,n_missing_title_included_max,n_missing_abstract_count,n_missing_abstract_mean,n_missing_abstract_std,n_missing_abstract_min,n_missing_abstract_25%,n_missing_abstract_50%,n_missing_abstract_75%,n_missing_abstract_max,n_missing_abstract_included_count,n_missing_abstract_included_mean,n_missing_abstract_included_std,n_missing_abstract_included_min,n_missing_abstract_included_25%,n_missing_abstract_included_50%,n_missing_abstract_included_75%,n_missing_abstract_included_max,title_length_count,title_length_mean,title_length_std,title_length_min,title_length_25%,title_length_50%,title_length_75%,title_length_max,abstract_length_count,abstract_length_mean,abstract_length_std,abstract_length_min,abstract_length_25%,abstract_length_50%,abstract_length_75%,abstract_length_max,n_keywords_count,n_keywords_mean,n_keywords_std,n_keywords_min,n_keywords_25%,n_keywords_50%,n_keywords_75%,n_keywords_max
Distal_radius_fractures_approach,1.0,195.0,,195.0,195.0,195.0,195.0,195.0,1.0,5.0,,5.0,5.0,5.0,5.0,5.0,1.0,190.0,,190.0,190.0,190.0,190.0,190.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,13.0,,13.0,13.0,13.0,13.0,13.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,113.98,,113.98,113.98,113.98,113.98,113.98,1.0,1277.41,,1277.41,1277.41,1277.41,1277.41,1277.41,0.0,,,,,,,
Distal_radius_fractures_closed_reduction,1.0,277.0,,277.0,277.0,277.0,277.0,277.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,273.0,,273.0,273.0,273.0,273.0,273.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,21.0,,21.0,21.0,21.0,21.0,21.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,114.31,,114.31,114.31,114.31,114.31,114.31,1.0,1309.42,,1309.42,1309.42,1309.42,1309.42,1309.42,0.0,,,,,,,
Hallux_valgus_prognostic,1.0,640.0,,640.0,640.0,640.0,640.0,640.0,1.0,12.0,,12.0,12.0,12.0,12.0,12.0,1.0,628.0,,628.0,628.0,628.0,628.0,628.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,12.0,12.0,12.0,12.0,12.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,93.05,,93.05,93.05,93.05,93.05,93.05,1.0,1233.05,,1233.05,1233.05,1233.05,1233.05,1233.05,0.0,,,,,,,
Head_and_neck_cancer_bone,1.0,311.0,,311.0,311.0,311.0,311.0,311.0,1.0,11.0,,11.0,11.0,11.0,11.0,11.0,1.0,300.0,,300.0,300.0,300.0,300.0,300.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,13.0,,13.0,13.0,13.0,13.0,13.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,109.94,,109.94,109.94,109.94,109.94,109.94,1.0,1226.28,,1226.28,1226.28,1226.28,1226.28,1226.28,0.0,,,,,,,
Head_and_neck_cancer_imaging,1.0,56.0,,56.0,56.0,56.0,56.0,56.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0,1.0,48.0,,48.0,48.0,48.0,48.0,48.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,115.41,,115.41,115.41,115.41,115.41,115.41,1.0,1512.3,,1512.3,1512.3,1512.3,1512.3,1512.3,0.0,,,,,,,
Obstetric_emergency_training,1.0,188.0,,188.0,188.0,188.0,188.0,188.0,1.0,7.0,,7.0,7.0,7.0,7.0,7.0,1.0,181.0,,181.0,181.0,181.0,181.0,181.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,16.0,,16.0,16.0,16.0,16.0,16.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,94.34,,94.34,94.34,94.34,94.34,94.34,1.0,1270.62,,1270.62,1270.62,1270.62,1270.62,1270.62,0.0,,,,,,,
Post_intensive_care_treatment,1.0,435.0,,435.0,435.0,435.0,435.0,435.0,1.0,6.0,,6.0,6.0,6.0,6.0,6.0,1.0,429.0,,429.0,429.0,429.0,429.0,429.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,51.0,,51.0,51.0,51.0,51.0,51.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,119.04,,119.04,119.04,119.04,119.04,119.04,1.0,1283.06,,1283.06,1283.06,1283.06,1283.06,1283.06,0.0,,,,,,,
Pregnancy_medication,1.0,428.0,,428.0,428.0,428.0,428.0,428.0,1.0,45.0,,45.0,45.0,45.0,45.0,45.0,1.0,383.0,,383.0,383.0,383.0,383.0,383.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,42.0,,42.0,42.0,42.0,42.0,42.0,1.0,5.0,,5.0,5.0,5.0,5.0,5.0,1.0,94.58,,94.58,94.58,94.58,94.58,94.58,1.0,1163.41,,1163.41,1163.41,1163.41,1163.41,1163.41,0.0,,,,,,,
Shoulder_replacement_diagnostic,1.0,342.0,,342.0,342.0,342.0,342.0,342.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,341.0,,341.0,341.0,341.0,341.0,341.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,13.0,,13.0,13.0,13.0,13.0,13.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,102.55,,102.55,102.55,102.55,102.55,102.55,1.0,1238.49,,1238.49,1238.49,1238.49,1238.49,1238.49,0.0,,,,,,,
Shoulder_replacement_surgery,1.0,397.0,,397.0,397.0,397.0,397.0,397.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,393.0,,393.0,393.0,393.0,393.0,393.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,21.0,,21.0,21.0,21.0,21.0,21.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,104.52,,104.52,104.52,104.52,104.52,104.52,1.0,1246.52,,1246.52,1246.52,1246.52,1246.52,1246.52,0.0,,,,,,,
Shoulderdystocia_positioning,1.0,218.0,,218.0,218.0,218.0,218.0,218.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,214.0,,214.0,214.0,214.0,214.0,214.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,10.0,,10.0,10.0,10.0,10.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,95.58,,95.58,95.58,95.58,95.58,95.58,1.0,1297.47,,1297.47,1297.47,1297.47,1297.47,1297.47,0.0,,,,,,,
Shoulderdystocia_recurrence,1.0,335.0,,335.0,335.0,335.0,335.0,335.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,331.0,,331.0,331.0,331.0,331.0,331.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,36.0,,36.0,36.0,36.0,36.0,36.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,82.75,,82.75,82.75,82.75,82.75,82.75,1.0,1195.93,,1195.93,1195.93,1195.93,1195.93,1195.93,0.0,,,,,,,
Total_knee_replacement,1.0,480.0,,480.0,480.0,480.0,480.0,480.0,1.0,9.0,,9.0,9.0,9.0,9.0,9.0,1.0,471.0,,471.0,471.0,471.0,471.0,471.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,21.0,,21.0,21.0,21.0,21.0,21.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,118.39,,118.39,118.39,118.39,118.39,118.39,1.0,1282.08,,1282.08,1282.08,1282.08,1282.08,1282.08,0.0,,,,,,,
Vascular_access,1.0,772.0,,772.0,772.0,772.0,772.0,772.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0,1.0,764.0,,764.0,764.0,764.0,764.0,764.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,44.0,,44.0,44.0,44.0,44.0,44.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,95.33,,95.33,95.33,95.33,95.33,95.33,1.0,1205.03,,1205.03,1205.03,1205.03,1205.03,1205.03,0.0,,,,,,,
