,n_papers,n_papers,n_papers,n_papers,n_papers,n_papers,n_papers,n_papers,n_included,n_included,n_included,n_included,n_included,n_included,n_included,n_included,n_included_%,n_included_%,n_included_%,n_included_%,n_included_%,n_included_%,n_included_%,n_included_%,n_excluded,n_excluded,n_excluded,n_excluded,n_excluded,n_excluded,n_excluded,n_excluded,n_excluded_%,n_excluded_%,n_excluded_%,n_excluded_%,n_excluded_%,n_excluded_%,n_excluded_%,n_excluded_%,n_unlabeled,n_unlabeled,n_unlabeled,n_unlabeled,n_unlabeled,n_unlabeled,n_unlabeled,n_unlabeled,n_unlabeled_%,n_unlabeled_%,n_unlabeled_%,n_unlabeled_%,n_unlabeled_%,n_unlabeled_%,n_unlabeled_%,n_unlabeled_%,n_missing_title,n_missing_title,n_missing_title,n_missing_title,n_missing_title,n_missing_title,n_missing_title,n_missing_title,n_missing_title_%,n_missing_title_%,n_missing_title_%,n_missing_title_%,n_missing_title_%,n_missing_title_%,n_missing_title_%,n_missing_title_%,n_missing_title_included,n_missing_title_included,n_missing_title_included,n_missing_title_included,n_missing_title_included,n_missing_title_included,n_missing_title_included,n_missing_title_included,n_missing_title_included_%,n_missing_title_included_%,n_missing_title_included_%,n_missing_title_included_%,n_missing_title_included_%,n_missing_title_included_%,n_missing_title_included_%,n_missing_title_included_%,n_missing_abstract,n_missing_abstract,n_missing_abstract,n_missing_abstract,n_missing_abstract,n_missing_abstract,n_missing_abstract,n_missing_abstract,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_%,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included,n_missing_abstract_included_%,n_missing_abstract_included_%,n_missing_abstract_included_%,n_missing_abstract_included_%,n_missing_abstract_included_%,n_missing_abstract_included_%,n_missing_abstract_included_%,n_missing_abstract_included_%,title_length,title_length,title_length,title_length,title_length,title_length,title_length,title_length,abstract_length,abstract_length,abstract_length,abstract_length,abstract_length,abstract_length,abstract_length,abstract_length,n_keywords,n_keywords,n_keywords,n_keywords,n_keywords,n_keywords,n_keywords,n_keywords,recall_random95,recall_random95,recall_random95,recall_random95,recall_random95,recall_random95,recall_random95,recall_random95
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distal_radius_fractures_approach,3.0,195.0,0.0,195.0,195.0,195.0,195.0,195.0,3.0,7.33,3.21,5.0,5.5,6.0,8.5,11.0,3.0,3.76,1.65,2.56,2.82,3.08,4.36,5.64,3.0,187.67,3.21,184.0,186.5,189.0,189.5,190.0,3.0,96.24,1.65,94.36,95.64,96.92,97.18,97.44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,3.0,6.67,0.0,6.67,6.67,6.67,6.67,6.67,3.0,0.33,0.58,0.0,0.0,0.0,0.5,1.0,3.0,0.17,0.29,0.0,0.0,0.0,0.26,0.51,3.0,113.98,0.0,113.98,113.98,113.98,113.98,113.98,3.0,1277.41,0.0,1277.41,1277.41,1277.41,1277.41,1277.41,0.0,,,,,,,,3.0,165.0,10.82,156.0,159.0,162.0,169.5,177.0
Distal_radius_fractures_closed_reduction,3.0,277.0,0.0,277.0,277.0,277.0,277.0,277.0,3.0,5.33,2.31,4.0,4.0,4.0,6.0,8.0,3.0,1.92,0.84,1.44,1.44,1.44,2.16,2.89,3.0,271.67,2.31,269.0,271.0,273.0,273.0,273.0,3.0,98.08,0.84,97.11,97.84,98.56,98.56,98.56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,3.0,7.58,0.0,7.58,7.58,7.58,7.58,7.58,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,0.72,0.0,0.72,0.72,0.72,0.72,0.72,3.0,114.31,0.0,114.31,114.31,114.31,114.31,114.31,3.0,1309.42,0.0,1309.42,1309.42,1309.42,1309.42,1309.42,0.0,,,,,,,,3.0,218.67,20.21,207.0,207.0,207.0,224.5,242.0
Hallux_valgus_prognostic,3.0,640.0,0.0,640.0,640.0,640.0,640.0,640.0,3.0,15.33,4.16,12.0,13.0,14.0,17.0,20.0,3.0,2.4,0.65,1.88,2.04,2.19,2.66,3.12,3.0,624.67,4.16,620.0,623.0,626.0,627.0,628.0,3.0,97.6,0.65,96.88,97.34,97.81,97.96,98.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,3.0,1.88,0.0,1.88,1.88,1.88,1.88,1.88,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.16,0.0,0.16,0.16,0.16,0.16,0.16,3.0,93.05,0.0,93.05,93.05,93.05,93.05,93.05,3.0,1233.05,0.0,1233.05,1233.05,1233.05,1233.05,1233.05,0.0,,,,,,,,3.0,596.0,11.14,586.0,590.0,594.0,601.0,608.0
Head_and_neck_cancer_bone,3.0,311.0,0.0,311.0,311.0,311.0,311.0,311.0,3.0,21.67,11.59,11.0,15.5,20.0,27.0,34.0,3.0,6.97,3.72,3.54,4.98,6.43,8.68,10.93,3.0,289.33,11.59,277.0,284.0,291.0,295.5,300.0,3.0,93.03,3.72,89.07,91.32,93.57,95.01,96.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.32,0.0,0.32,0.32,0.32,0.32,0.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,3.0,4.18,0.0,4.18,4.18,4.18,4.18,4.18,3.0,1.0,1.0,0.0,0.5,1.0,1.5,2.0,3.0,0.32,0.32,0.0,0.16,0.32,0.48,0.64,3.0,109.94,0.0,109.94,109.94,109.94,109.94,109.94,3.0,1226.28,0.0,1226.28,1226.28,1226.28,1226.28,1226.28,0.0,,,,,,,,3.0,289.67,6.81,282.0,287.0,292.0,293.5,295.0
Head_and_neck_cancer_imaging,3.0,56.0,0.0,56.0,56.0,56.0,56.0,56.0,3.0,11.67,5.51,8.0,8.5,9.0,13.5,18.0,3.0,20.83,9.83,14.29,15.18,16.07,24.1,32.14,3.0,44.33,5.51,38.0,42.5,47.0,47.5,48.0,3.0,79.17,9.83,67.86,75.9,83.93,84.82,85.71,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,115.41,0.0,115.41,115.41,115.41,115.41,115.41,3.0,1512.3,0.0,1512.3,1512.3,1512.3,1512.3,1512.3,0.0,,,,,,,,3.0,50.0,1.73,49.0,49.0,49.0,50.5,52.0
Obstetric_emergency_training,3.0,188.0,0.0,188.0,188.0,188.0,188.0,188.0,3.0,12.33,5.51,7.0,9.5,12.0,15.0,18.0,3.0,6.56,2.93,3.72,5.05,6.38,7.98,9.57,3.0,175.67,5.51,170.0,173.0,176.0,178.5,181.0,3.0,93.44,2.93,90.43,92.02,93.62,94.95,96.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,3.0,8.51,0.0,8.51,8.51,8.51,8.51,8.51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,94.34,0.0,94.34,94.34,94.34,94.34,94.34,3.0,1270.62,0.0,1270.62,1270.62,1270.62,1270.62,1270.62,0.0,,,,,,,,3.0,170.0,8.19,161.0,166.5,172.0,174.5,177.0
Post_intensive_care_treatment,3.0,435.0,0.0,435.0,435.0,435.0,435.0,435.0,3.0,45.67,55.43,6.0,14.0,22.0,65.5,109.0,3.0,10.5,12.74,1.38,3.22,5.06,15.06,25.06,3.0,389.33,55.43,326.0,369.5,413.0,421.0,429.0,3.0,89.5,12.74,74.94,84.94,94.94,96.78,98.62,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,0.46,0.0,0.46,0.46,0.46,0.46,0.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,3.0,11.72,0.0,11.72,11.72,11.72,11.72,11.72,3.0,6.0,6.08,2.0,2.5,3.0,8.0,13.0,3.0,1.38,1.4,0.46,0.57,0.69,1.84,2.99,3.0,119.04,0.0,119.04,119.04,119.04,119.04,119.04,3.0,1283.06,0.0,1283.06,1283.06,1283.06,1283.06,1283.06,0.0,,,,,,,,3.0,389.33,24.99,362.0,378.5,395.0,403.0,411.0
Pregnancy_medication,3.0,428.0,0.0,428.0,428.0,428.0,428.0,428.0,3.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,3.0,10.51,0.0,10.51,10.51,10.51,10.51,10.51,3.0,383.0,0.0,383.0,383.0,383.0,383.0,383.0,3.0,89.49,0.0,89.49,89.49,89.49,89.49,89.49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,3.0,9.81,0.0,9.81,9.81,9.81,9.81,9.81,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,1.17,0.0,1.17,1.17,1.17,1.17,1.17,3.0,94.58,0.0,94.58,94.58,94.58,94.58,94.58,3.0,1163.41,0.0,1163.41,1163.41,1163.41,1163.41,1163.41,0.0,,,,,,,,3.0,399.0,0.0,399.0,399.0,399.0,399.0,399.0
Shoulder_replacement_diagnostic,3.0,342.0,0.0,342.0,342.0,342.0,342.0,342.0,3.0,1.67,1.15,1.0,1.0,1.0,2.0,3.0,3.0,0.49,0.34,0.29,0.29,0.29,0.58,0.88,3.0,340.33,1.15,339.0,340.0,341.0,341.0,341.0,3.0,99.51,0.34,99.12,99.42,99.71,99.71,99.71,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,3.0,3.8,0.0,3.8,3.8,3.8,3.8,3.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,102.55,0.0,102.55,102.55,102.55,102.55,102.55,3.0,1238.49,0.0,1238.49,1238.49,1238.49,1238.49,1238.49,0.0,,,,,,,,3.0,76.0,131.64,0.0,0.0,0.0,114.0,228.0
Shoulder_replacement_surgery,3.0,397.0,0.0,397.0,397.0,397.0,397.0,397.0,3.0,4.67,1.15,4.0,4.0,4.0,5.0,6.0,3.0,1.18,0.29,1.01,1.01,1.01,1.26,1.51,3.0,392.33,1.15,391.0,392.0,393.0,393.0,393.0,3.0,98.82,0.29,98.49,98.74,98.99,98.99,98.99,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,3.0,5.29,0.0,5.29,5.29,5.29,5.29,5.29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,104.52,0.0,104.52,104.52,104.52,104.52,104.52,3.0,1246.52,0.0,1246.52,1246.52,1246.52,1246.52,1246.52,0.0,,,,,,,,3.0,308.0,19.05,297.0,297.0,297.0,313.5,330.0
Shoulderdystocia_positioning,3.0,218.0,0.0,218.0,218.0,218.0,218.0,218.0,3.0,5.0,1.0,4.0,4.5,5.0,5.5,6.0,3.0,2.29,0.46,1.83,2.06,2.29,2.52,2.75,3.0,213.0,1.0,212.0,212.5,213.0,213.5,214.0,3.0,97.71,0.46,97.25,97.48,97.71,97.94,98.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,3.0,4.59,0.0,4.59,4.59,4.59,4.59,4.59,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.58,0.0,95.58,95.58,95.58,95.58,95.58,3.0,1297.47,0.0,1297.47,1297.47,1297.47,1297.47,1297.47,0.0,,,,,,,,3.0,172.67,9.07,163.0,168.5,174.0,177.5,181.0
Shoulderdystocia_recurrence,3.0,335.0,0.0,335.0,335.0,335.0,335.0,335.0,3.0,4.67,0.58,4.0,4.5,5.0,5.0,5.0,3.0,1.39,0.17,1.19,1.34,1.49,1.49,1.49,3.0,330.33,0.58,330.0,330.0,330.0,330.5,331.0,3.0,98.61,0.17,98.51,98.51,98.51,98.66,98.81,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3,0.0,0.3,0.3,0.3,0.3,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0,3.0,10.75,0.0,10.75,10.75,10.75,10.75,10.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,82.75,0.0,82.75,82.75,82.75,82.75,82.75,3.0,1195.93,0.0,1195.93,1195.93,1195.93,1195.93,1195.93,0.0,,,,,,,,3.0,262.33,9.81,251.0,259.5,268.0,268.0,268.0
Total_knee_replacement,3.0,480.0,0.0,480.0,480.0,480.0,480.0,480.0,3.0,20.0,13.45,9.0,12.5,16.0,25.5,35.0,3.0,4.17,2.8,1.88,2.6,3.33,5.31,7.29,3.0,460.0,13.45,445.0,454.5,464.0,467.5,471.0,3.0,95.83,2.8,92.71,94.69,96.67,97.4,98.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,3.0,4.38,0.0,4.38,4.38,4.38,4.38,4.38,3.0,0.67,1.15,0.0,0.0,0.0,1.0,2.0,3.0,0.14,0.24,0.0,0.0,0.0,0.21,0.42,3.0,118.39,0.0,118.39,118.39,118.39,118.39,118.39,3.0,1282.08,0.0,1282.08,1282.08,1282.08,1282.08,1282.08,0.0,,,,,,,,3.0,442.67,14.47,426.0,438.0,450.0,451.0,452.0
Vascular_access,3.0,772.0,0.0,772.0,772.0,772.0,772.0,772.0,3.0,13.0,7.0,8.0,9.0,10.0,15.5,21.0,3.0,1.69,0.9,1.04,1.17,1.3,2.01,2.72,3.0,759.0,7.0,751.0,756.5,762.0,763.0,764.0,3.0,98.31,0.9,97.28,97.99,98.7,98.83,98.96,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0,3.0,5.7,0.0,5.7,5.7,5.7,5.7,5.7,3.0,0.67,1.15,0.0,0.0,0.0,1.0,2.0,3.0,0.09,0.15,0.0,0.0,0.0,0.13,0.26,3.0,95.33,0.0,95.33,95.33,95.33,95.33,95.33,3.0,1205.03,0.0,1205.03,1205.03,1205.03,1205.03,1205.03,0.0,,,,,,,,3.0,689.0,12.29,675.0,684.5,694.0,696.0,698.0
